Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Performance PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Year,Rk
Åukasz FabiaÅ„ski,POL,GK,West Ham,35,1985,35,35,"3,150",35,1.26,1.26,3.83,2.74,69.4,0.49,0.23,0.29,0.29,28.6,0.17,0.09,0.06,0.03,40,2020,14
Fraser Forster,ENG,GK,Southampton,32,1988,8,8,720,8,1.38,1.37,3.5,2.38,67.9,0.5,0,0.5,0.25,25,0.38,0.25,0.13,0,33.3,2020,15
David de Gea,ESP,GK,Manchester Utd,29,1990,26,26,"2,295",25.5,1.25,1.25,3.33,2.27,67.1,0.47,0.35,0.2,0.35,34.6,0.16,0.16,0,0,0,2020,16
Vicente Guaita,ESP,GK,Crystal Palace,33,1987,37,37,"3,330",37,1.73,1.73,4.54,2.84,63.7,0.3,0.22,0.49,0.22,21.6,0.11,0.08,0.03,0,25,2020,17
Dean Henderson,ENG,GK,Manchester Utd,23,1997,13,12,"1,125",12.5,0.96,0.96,4,3.04,76,0.72,0.16,0.08,0.32,33.3,0,0,0,0,,2020,18
Sam Johnstone,ENG,GK,West Brom,27,1993,37,37,"3,330",37,2,2,6.16,4.35,70.6,0.11,0.3,0.59,0.16,16.2,0.32,0.19,0.05,0.08,22.2,2020,19
CaoimhÃ­n Kelleher,IRL,GK,Liverpool,21,1998,2,2,180,2,0.5,0.5,3.5,3,85.7,0.5,0,0.5,0.5,50,0,0,0,0,,2020,20
Bernd Leno,GER,GK,Arsenal,28,1992,35,35,"3,131",34.8,1.06,1.06,3.36,2.41,69.2,0.49,0.17,0.34,0.32,31.4,0.06,0.03,0.03,0,50,2020,21
Hugo Lloris,FRA,GK,Tottenham,33,1986,38,38,"3,420",38,1.18,1.18,3.79,2.92,75.7,0.47,0.21,0.32,0.32,31.6,0.26,0.26,0,0,0,2020,22
Emiliano MartÃ­nez,ARG,GK,Aston Villa,27,1992,38,38,"3,420",38,1.21,1.21,4.66,3.55,76.8,0.42,0.18,0.39,0.39,39.5,0.16,0.13,0.03,0,16.7,2020,23
Alex McCarthy,ENG,GK,Southampton,30,1989,30,30,"2,700",30,1.9,1.9,4.7,3,63.8,0.27,0.23,0.5,0.23,23.3,0.2,0.2,0,0,0,2020,24
Edouard Mendy,SEN,GK,Chelsea,28,1992,31,31,"2,745",30.5,0.82,0.82,2.56,1.8,70.5,0.56,0.23,0.23,0.52,51.6,0.1,0.07,0.03,0,33.3,2020,25
Illan Meslier,FRA,GK,Leeds United,20,2000,35,35,"3,150",35,1.49,1.49,5.06,3.83,75.1,0.46,0.14,0.4,0.31,31.4,0.26,0.23,0.03,0,11.1,2020,26
Will Norris,ENG,GK,Burnley,26,1993,2,2,180,2,2,2,3,1,33.3,0,0,1,0,0,0,0,0,0,,2020,27
Robin Olsen,SWE,GK,Everton,30,1990,7,7,630,7,1.29,1.29,3.86,2.57,70.4,0.29,0.43,0.29,0.29,28.6,0.14,0.14,0,0,0,2020,28
Rui PatrÃ­cio,POR,GK,Wolves,32,1988,37,37,"3,329",37,1.38,1.38,3.78,2.59,68.6,0.32,0.24,0.43,0.27,27,0.22,0.19,0.03,0,12.5,2020,29
Bailey Peacock-Farrell,NIR,GK,Burnley,23,1996,4,4,360,4,3.5,3.5,6.25,2.75,44,0,0,1,0,0,0,0,0,0,,2020,30
Jordan Pickford,ENG,GK,Everton,26,1994,31,31,"2,742",30.5,1.28,1.28,4.2,2.95,71.1,0.49,0.16,0.36,0.33,32.3,0.1,0.07,0,0.03,0,2020,31
Nick Pope,ENG,GK,Burnley,28,1992,32,32,"2,880",32,1.16,1.16,4.63,3.56,77,0.31,0.28,0.41,0.34,34.4,0.09,0.09,0,0,0,2020,32
Aaron Ramsdale,ENG,GK,Sheffield Utd,22,1998,38,38,"3,420",38,1.66,1.66,5.39,3.82,70.7,0.18,0.05,0.76,0.13,13.2,0.11,0.08,0,0.03,0,2020,33
Darren Randolph,IRL,GK,West Ham,33,1987,3,3,270,3,1,1,3,2,66.7,0.67,0,0.33,0.33,33.3,0,0,0,0,,2020,34
Marek RodÃ¡k,SVK,GK,Fulham,23,1996,2,2,180,2,2.5,2.5,4,2,50,0,0,1,0,0,0.5,0.5,0,0,0,2020,35
John Ruddy,ENG,GK,Wolves,33,1986,2,1,91,1,1,0.99,4,3,75,0,0,1,0,0,0,0,0,0,,2020,36
Mathew Ryan,AUS,GK,Brighton,28,1992,11,11,990,11,1.73,1.73,2.73,1.45,50,0.18,0.36,0.45,0.18,18.2,0.36,0.36,0,0,0,2020,37
Mathew Ryan,AUS,GK,Arsenal,28,1992,3,3,270,3,0.67,0.67,3,2.67,88.9,0.33,0.33,0.33,0.33,33.3,0.33,0.33,0,0,0,2020,38
Robert SÃ¡nchez,ESP,GK,Brighton,22,1997,27,27,"2,430",27,1,1,3.22,2.33,71.3,0.26,0.37,0.37,0.37,37,0.11,0.07,0,0.04,0,2020,39
Kasper Schmeichel,DEN,GK,Leicester City,33,1986,38,38,"3,420",38,1.32,1.32,3.53,2.29,65.7,0.53,0.16,0.32,0.29,28.9,0.11,0.11,0,0,0,2020,40
Zack Steffen,USA,GK,Manchester City,25,1995,1,1,90,1,1,1,2,1,50,1,0,0,0,0,0,0,0,0,,2020,41
JoÃ£o VirgÃ­nia,POR,GK,Everton,20,1999,1,0,48,0.5,0,0,6,6,100,0,0,0,0,,0,0,0,0,,2020,42
AdriÃ¡n,ESP,GK,Liverpool,32,1987,11,9,875,9.7,1.03,1.03,2.89,1.75,64.3,0.93,0,0,0.21,22.2,0,0,0,0,,2019,1
Alisson,BRA,GK,Liverpool,26,1992,29,29,"2,543",28.3,0.81,0.81,2.79,2.05,72.2,0.81,0.11,0.11,0.46,44.8,0.04,0.04,0,0,0,2019,2
Kepa Arrizabalaga,ESP,GK,Chelsea,24,1994,33,33,"2,970",33,1.42,1.42,3,1.67,54.5,0.55,0.12,0.33,0.24,24.2,0.06,0.06,0,0,0,2019,3
Claudio Bravo,CHI,GK,Manchester City,36,1983,4,3,347,3.9,1.79,1.82,3.85,2.05,53.3,0.51,0,0.26,0.26,33.3,0,0,0,0,,2019,4
Willy Caballero,ARG,GK,Chelsea,37,1981,5,5,450,5,1.4,1.4,3.2,2,56.3,0.4,0.4,0.2,0.2,20,0,0,0,0,,2019,5
Martin DÃºbravka,SVK,GK,Newcastle Utd,30,1989,38,38,"3,420",38,1.53,1.53,5,3.53,70.5,0.29,0.29,0.42,0.29,28.9,0.05,0.05,0,0,0,2019,6
Ederson,BRA,GK,Manchester City,25,1993,35,35,"3,071",34.1,0.82,0.82,2.7,1.91,72.8,0.7,0.09,0.23,0.47,45.7,0.09,0.09,0,0,0,2019,7
Åukasz FabiaÅ„ski,POL,GK,West Ham,34,1985,25,25,"2,117",23.5,1.45,1.45,4.17,2.94,68.4,0.34,0.3,0.43,0.21,20,0.17,0.13,0.04,0,25,2019,8
Ralf FÃ¤hrmann,GER,GK,Norwich City,30,1988,1,1,21,0.2,5,4.29,5,5,100,0,0,5,0,0,5,5,0,0,0,2019,9
Ben Foster,ENG,GK,Watford,36,1983,38,38,"3,420",38,1.68,1.68,4.37,2.87,66.3,0.21,0.26,0.53,0.24,23.7,0.24,0.21,0.03,0,11.1,2019,10
Paulo Gazzaniga,ARG,GK,Tottenham,27,1992,18,17,"1,613",17.9,1.45,1.45,4.41,3.13,70.9,0.28,0.28,0.39,0.11,11.8,0.22,0.17,0.06,0,25,2019,11
David de Gea,ESP,GK,Manchester Utd,28,1990,38,38,"3,420",38,0.95,0.95,3.29,2.42,73.6,0.47,0.32,0.21,0.34,34.2,0.08,0.08,0,0,0,2019,12
Vicente Guaita,ESP,GK,Crystal Palace,32,1987,35,35,"3,150",35,1.2,1.2,4.2,3.03,71.4,0.31,0.26,0.43,0.29,28.6,0.03,0,0,0.03,,2019,13
Angus Gunn,ENG,GK,Southampton,23,1996,10,10,900,10,2.5,2.5,5.3,3,56.6,0.2,0.2,0.6,0.2,20,0.2,0.2,0,0,0,2019,14
Tom Heaton,ENG,GK,Aston Villa,33,1986,20,20,"1,794",19.9,1.76,1.76,4.97,3.37,67.7,0.3,0.15,0.55,0.2,20,0.15,0.15,0,0,0,2019,15
Dean Henderson,ENG,GK,Sheffield Utd,22,1997,36,36,"3,240",36,0.92,0.92,3.58,2.69,75.2,0.39,0.31,0.31,0.36,36.1,0.08,0.03,0.03,0.03,50,2019,16
Wayne Hennessey,WAL,GK,Crystal Palace,32,1987,3,3,270,3,2.67,2.67,7.33,4.67,63.6,0,0.33,0.67,0,0,0,0,0,0,,2019,17
Tim Krul,NED,GK,Norwich City,31,1988,36,36,"3,240",36,1.89,1.89,5.25,3.42,65.6,0.14,0.17,0.69,0.14,13.9,0.14,0.08,0.06,0,40,2019,18
Bernd Leno,GER,GK,Arsenal,27,1992,30,30,"2,649",29.4,1.33,1.33,5,3.74,77.6,0.31,0.44,0.27,0.24,23.3,0.24,0.2,0.03,0,14.3,2019,19
Hugo Lloris,FRA,GK,Tottenham,32,1986,21,21,"1,807",20.1,1.04,1.05,4.63,3.68,79.6,0.55,0.3,0.2,0.3,28.6,0.15,0.1,0.05,0,33.3,2019,20
David Martin,ENG,GK,West Ham,33,1986,5,4,436,4.8,1.25,1.24,4.17,2.92,70,0.42,0,0.42,0.42,50,0,0,0,0,,2019,21
Emiliano MartÃ­nez,ARG,GK,Arsenal,26,1992,9,8,771,8.6,1.05,1.05,4.88,3.84,81,0.58,0.12,0.23,0.35,37.5,0.12,0.12,0,0,0,2019,22
Alex McCarthy,ENG,GK,Southampton,29,1989,28,28,"2,520",28,1.25,1.25,3.93,2.75,69.1,0.46,0.18,0.36,0.25,25,0.07,0.04,0.04,0,50,2019,23
Michael McGovern,NIR,GK,Norwich City,35,1984,2,1,159,1.8,3.33,3.4,6.11,2.78,45.5,0,0,0.56,0,0,0.56,0,0.56,0,100,2019,24
Simon Moore,ENG,GK,Sheffield Utd,29,1990,2,2,180,2,3,3,6,3,50,0,0.5,0.5,0,0,0,0,0,0,,2019,25
Ã˜rjan Nyland,NOR,GK,Aston Villa,28,1990,7,5,539,6,2,2,4.33,2.33,53.8,0,0.33,0.5,0.17,20,0,0,0,0,,2019,26
Rui PatrÃ­cio,POR,GK,Wolves,31,1988,38,38,"3,420",38,1.05,1.05,3.16,2.11,67.5,0.39,0.37,0.24,0.34,34.2,0.08,0.03,0.05,0,66.7,2019,27
Jordan Pickford,ENG,GK,Everton,25,1994,38,38,"3,420",38,1.47,1.47,3.82,2.5,63.4,0.34,0.26,0.39,0.24,23.7,0.11,0.08,0,0.03,0,2019,28
Nick Pope,ENG,GK,Burnley,27,1992,38,38,"3,420",38,1.32,1.32,4.18,2.95,71.1,0.39,0.24,0.37,0.39,39.5,0.13,0.11,0.03,0,20,2019,29
Aaron Ramsdale,ENG,GK,Bournemouth,21,1998,37,37,"3,330",37,1.68,1.68,4.78,3.24,67.8,0.24,0.19,0.57,0.14,13.5,0.16,0.14,0.03,0,16.7,2019,30
Darren Randolph,IRL,GK,West Ham,32,1987,2,2,180,2,2.5,2.5,4.5,2.5,55.6,0,0.5,0.5,0,0,0.5,0.5,0,0,0,2019,31
Pepe Reina,ESP,GK,Aston Villa,36,1982,12,12,"1,080",12,1.67,1.67,4.17,2.67,64,0.25,0.25,0.5,0.17,16.7,0.25,0.17,0.08,0,33.3,2019,32
Roberto,ESP,GK,West Ham,33,1986,8,7,687,7.6,2.24,2.23,6.71,4.74,68.6,0,0.13,0.79,0,0,0.13,0.13,0,0,0,2019,33
Mathew Ryan,AUS,GK,Brighton,27,1992,38,38,"3,420",38,1.42,1.42,4.32,3,68.3,0.24,0.37,0.39,0.24,23.7,0.05,0.05,0,0,0,2019,34
Kasper Schmeichel,DEN,GK,Leicester City,32,1986,38,38,"3,420",38,1.08,1.08,3.32,2.5,73.8,0.47,0.21,0.32,0.34,34.2,0.26,0.21,0.05,0,20,2019,35
Jed Steer,ENG,GK,Aston Villa,26,1992,1,1,7,0.1,0,0,0,0,,0,0,10,0,0,0,0,0,0,,2019,36
Mark Travers,IRL,GK,Bournemouth,20,1999,1,1,90,1,3,3,5,2,40,0,0,1,0,0,0,0,0,0,,2019,37
Alisson,BRA,GK,Liverpool,25,1992,38,38,"3,420",38,0.58,0.58,2.55,1.97,77.3,0.79,0.18,0.03,0.55,55.3,0.03,0,0,0.03,,2018,1
Kepa Arrizabalaga,ESP,GK,Chelsea,23,1994,36,36,"3,240",36,1.08,1.08,3.31,2.19,68.1,0.56,0.22,0.22,0.39,38.9,0.06,0.03,0.03,0,50,2018,2
Asmir BegoviÄ‡,BIH,GK,Bournemouth,31,1987,24,24,"2,160",24,1.96,1.96,4.29,2.42,56.3,0.33,0.13,0.54,0.21,20.8,0.08,0.08,0,0,0,2018,3
Marcus Bettinelli,ENG,GK,Fulham,26,1992,7,7,630,7,2.86,2.86,5.43,2.57,50,0.14,0.29,0.57,0,0,0.43,0.14,0.14,0.14,50,2018,4
Artur Boruc,POL,GK,Bournemouth,38,1980,12,12,"1,080",12,1.5,1.5,4.42,3,71.7,0.33,0.25,0.42,0.33,33.3,0.25,0.25,0,0,0,2018,5
David Button,ENG,GK,Brighton,29,1989,4,4,360,4,1.25,1.25,4,3,81.3,0.25,0.25,0.5,0.25,25,0.5,0.5,0,0,0,2018,6
Willy Caballero,ARG,GK,Chelsea,36,1981,2,2,180,2,0,0,1.5,1.5,100,0.5,0.5,0,1,100,0,0,0,0,,2018,7
Petr ÄŒech,CZE,GK,Arsenal,36,1982,7,7,585,6.5,1.38,1.38,5.38,4,74.3,0.77,0,0.31,0.31,28.6,0,0,0,0,,2018,8
Joel Coleman,ENG,GK,Huddersfield,22,1995,1,1,90,1,1,1,3,1,66.7,0,1,0,0,0,0,0,0,0,,2018,9
Martin DÃºbravka,SVK,GK,Newcastle Utd,29,1989,38,38,"3,420",38,1.26,1.26,3.5,2.42,68.4,0.32,0.24,0.45,0.29,28.9,0.16,0.16,0,0,0,2018,10
Ederson,BRA,GK,Manchester City,24,1993,38,38,"3,420",38,0.61,0.61,2.08,1.58,75.9,0.84,0.05,0.11,0.53,52.6,0.11,0.11,0,0,0,2018,11
Neil Etheridge,PHI,GK,Cardiff City,28,1990,38,38,"3,420",38,1.82,1.82,5.26,3.53,67.5,0.26,0.11,0.63,0.26,26.3,0.18,0.11,0.08,0,42.9,2018,12
Åukasz FabiaÅ„ski,POL,GK,West Ham,33,1985,38,38,"3,420",38,1.45,1.45,5.05,3.63,73.4,0.39,0.18,0.42,0.18,18.4,0.13,0.11,0.03,0,20,2018,13
Fabricio,ESP,GK,Fulham,30,1987,2,2,180,2,2.5,2.5,11,8,77.3,0,0,1,0,0,0,0,0,0,,2018,14
Fraser Forster,ENG,GK,Southampton,30,1988,1,1,90,1,3,3,6,3,50,0,0,1,0,0,0,0,0,0,,2018,15
Ben Foster,ENG,GK,Watford,35,1983,38,38,"3,420",38,1.55,1.55,4.5,3.03,67.8,0.37,0.21,0.42,0.18,18.4,0.13,0.11,0.03,0,20,2018,16
Paulo Gazzaniga,ARG,GK,Tottenham,26,1992,3,3,270,3,0.67,0.67,4.33,3.67,84.6,0.67,0,0.33,0.33,33.3,0,0,0,0,,2018,17
David de Gea,ESP,GK,Manchester Utd,27,1990,38,38,"3,420",38,1.42,1.42,4.47,3.29,71.8,0.5,0.24,0.26,0.18,18.4,0.16,0.16,0,0,0,2018,18
Vicente Guaita,ESP,GK,Crystal Palace,31,1987,20,20,"1,755",19.5,1.18,1.18,4.31,3.08,73.8,0.51,0.21,0.31,0.36,35,0.05,0.05,0,0,0,2018,19
Angus Gunn,ENG,GK,Southampton,22,1996,12,12,"1,080",12,1.5,1.5,4,2.5,62.5,0.33,0.33,0.33,0.25,25,0.08,0,0.08,0,100,2018,20
Ben Hamer,ENG,GK,Huddersfield,30,1987,7,7,553,6.1,3.44,3.42,6.23,3.44,52.6,0,0.16,0.98,0.16,14.3,0.49,0.49,0,0,0,2018,21
Joe Hart,ENG,GK,Burnley,31,1987,19,19,"1,710",19,2.16,2.16,6.05,3.84,65.2,0.16,0.16,0.68,0.21,21.1,0.11,0.05,0.05,0,50,2018,22
Tom Heaton,ENG,GK,Burnley,32,1986,19,19,"1,710",19,1.42,1.42,4.26,3,67.9,0.42,0.21,0.37,0.21,21.1,0.05,0.05,0,0,0,2018,23
Wayne Hennessey,WAL,GK,Crystal Palace,31,1987,18,17,"1,575",17.5,1.49,1.49,3.71,2.4,64.6,0.23,0.17,0.57,0.29,29.4,0.23,0.17,0.06,0,25,2018,24
Bernd Leno,GER,GK,Arsenal,26,1992,32,31,"2,835",31.5,1.33,1.33,4.38,3.3,74.6,0.51,0.22,0.25,0.22,22.6,0.22,0.22,0,0,0,2018,25
Hugo Lloris,FRA,GK,Tottenham,31,1986,33,33,"2,970",33,1,1,3.67,2.76,75.2,0.64,0.06,0.3,0.36,36.4,0.15,0.09,0.06,0,40,2018,26
Jonas LÃ¶ssl,DEN,GK,Huddersfield,29,1989,31,30,"2,777",30.9,1.75,1.75,4.43,2.82,63.5,0.1,0.16,0.71,0.16,16.7,0.16,0.13,0.03,0,20,2018,27
Alex McCarthy,ENG,GK,Southampton,28,1989,25,25,"2,250",25,1.76,1.76,4.72,3.16,64.4,0.2,0.32,0.48,0.16,16,0.08,0.08,0,0,0,2018,28
Will Norris,ENG,GK,Wolves,24,1993,1,0,,0,0,,0,0,,0,0,0,1,,0,0,0,0,,2018,29
Rui PatrÃ­cio,POR,GK,Wolves,30,1988,37,37,"3,330",37,1.24,1.24,3.68,2.57,68.4,0.41,0.24,0.35,0.22,21.6,0.11,0.08,0,0.03,0,2018,30
